55,coloquei para imprimir frente e verso querendo economizar papel e agora está com um alerda piscando e não imprimi mais
56,usuário informa que o computador não liga
57,usuária entrou em contato alegando que a impressora localizada na recepção da dam não estava imprimindo os documentos
58,usuário informa que o excel não está funcionando
59,usuário entrou em contato alegando que o computador não esta ligando entretanto o no break esta funcionando normalmente
60,mouse sem funcionar
61,usuária alega que o nobreak de sua maquina não esta ligando apenas apresentando a luz vermelha
62,usuária solicita apoio para verificar computador que não liga
63,informo que se encontra queimada a fonte referente a cpu do servidor n numero marca positivo de forma que se solicita a substituição com urgência por se tratar do computador da assessoria
64,um dos computadores do gabinete não quer funcionar aparece o aviso não há servidor de logon disponível
65,inesperadamente a tela desligou
66,inesperadamente a tela desligou
67,computador não está ligando
68,problema ao imprimir etiqueta
69,usuário informa que o computador não está ligando
70,não consigo liberar a impressora para impressão
71,computador do restaurate nã loga
72,as impressoras da dap adm numero e numero não estão imprimindo
73,pc não liga
74,monitor não gerando imagem
75,mensagem de erro ao tentar imprimir
76,pc desligando
77,ao abrir o sistema ergon para acessar as consultas disponíveis no mesmo a página não carrega
78,pc não liga
79,impressora atolando papel
80,a página do sigef entra em um looping infinito e não abre obs já é o segundo chamado no msm sentido msm problema
81,nobreak bipando
82,nobreak bipando
83,computador não está ligando
84,pc inicializar apropriadamente
85,computador com a tela desligando
86,nobreak bipando
87,usuária solicita apoio para verificar computador desligando
88,mouse com problemas
89,erro de memoria do tonner
90,problemas na impressão
91,verificar impressora
92,verificar impressora erro ao imprimir
93,problema no sistema operacional
94,necessita de instalação de software para funcionamento do certificado digital
95,pc travando
96,problema com email pratico
97,não consigo assinar documento no pje do tjrn
98,trocar teclado
99,computador não liga
100,usuária alega que o computador não desliga
101,computador não está ligando
102,monitor não liga
103,pc não respondendo ao salvar processo digitalizado
104,solicita visita técnica para verificar o funcionamento da impressora
105,computador não inicia
106,recepção informa que um catracas esta com um cartão preso impossibilitando a saída dos demais visitantes
107,impressora não está puxando a folha
108,computador não liga
109,nobreak apresentando barulho estranho
110,solicito a presença de um técnico para verificar um monitor que apagou
111,impressora não está imprimindo
112,computador não está ligando
113,computador não está ligando
114,computador não liga
115,pc travando
116,pc travando
117,não consegue imprimir fatura
118,impressora não está imprimindo
119,mouse sem funcionar
120,problema no word
121,no break ups numero va one tombo numero ns numero
122,no break ups numero va one tombo numero ns numero
123,no break ups numero va one tombo numero ns numero
124,verificar erro em link constante em planilha eletrônica
125,usuária alega que o computador da recepção esta apresentando memória ram random access memory memória de acesso aleatório cheia mesmo sem usar nenhuma aplicação
126,teclado não funcionando notebook hp numero sala de treinamento
127,cadastro de ocorrencia de hardware problema encontrado equipamento reinicializando após de algum tempo em funcionamento problema detectado
128,pcs da sala de treinamento não logando
129,problema com softwares adobe
130,pc não liga
131,pc reinicializando
132,venho informar a ocorrência de problemas no e mail legis tce rn gov br numero e mails remetidos não aparecem na pasta enviados numero não se consegue remeter e mail ao endereço legis tce rn gov br conforme o print abaixo
133,todos os ícones da área de trabalho estão em branco
134,pen drive não estava abrindo
135,boa tarde existe uma hp laserjet numero conectada a um dos computadores da sala mas os demais equipamentos não conseguem enxergá la ou enviar documentos para serem impressos basicamente somente a máquina onde a impressora está conectada via usb consegue receber os trabalhos de impressão
136,pc não liga
137,monitor desligando
138,impressora offline
139,computador travado
140,problema no pc
141,computador não esta ligando
142,problema ao inserir despacho informação
143,problema contabilização de horas excedentes no seu ponto dia numero numero numero
144,usuário informa que não está conseguindo imprimir um documento em doc
145,problema no google earth
146,não estou conseguindo acessar meu email iaramedeiros tce acho que estou digitando a senha errada
147,navegador em inglês
148,computador não liga
149,usuário alega que umas das impressoras não esta ligando e a outra só imprimi na cor rosa
150,problema com nobreak
151,pc reiniciando
152,problema pc dap mutirão
153,nobreak bipando e computador desligou
154,o token não esta assinando
155,problema com o ponto
156,senha de usuário bloqueada
157,computador não esta ligando conectar cabo de força na maquina
158,pc bibando
159,pc travando
160,o sistema de informações não abre o word
161,pc reiniciando
162,problema com token
163,pc travando
164,problema com a impressora
165,monitor lenovo tombo numero ao entrar em modo descanso trava não funciona o botão de ligar desligar não volta a imagem substituído pelo monitor positivo tombo numero estava na dag pendente de memorando setor informou que iria mandar para dag
166,sistema não está calculando o banco de horas do trimestre corretamente
167,usuário informa que está com problema no bizagi
168,usuário informa que a tv da recepção está com problema
169,problema com o scanner
170,realocação de maquinas devido alagamento
171,problema na impressora
172,estabilizador apc sol g numero numero va sem tombo ns numero levou agua substituído pelo estabilizador sol numero va tombo numero adicionado nobreak nhs tombo numero
173,há uma impressora no setor na qual não estou conseguindo enviar impressão dá erro ao tentar imprimir
174,usuário informa que o token não está reconhecendo
175,computador não esta ligando
176,computador não esta ligando
177,computador não esta ligando
178,monitor não esta ligando
179,impressora não está imprimindo
180,cadastro de ocorrencia de hardware problema encontrado estabilizador não liga equipamentos problema detectado
181,cadastro de ocorrencia de hardware problema encontrado estabilizador levou água verificar funcionamento problema detectado
182,cadastro de ocorrencia de hardware problema encontrado nobreak não liga problema detectado
183,cadastro de ocorrencia de hardware problema encontrado nobreak emitindo barulho problema detectado
184,o nobreak que estou usando não liga
185,problema na imagem das tv s recepção
186,verificar e corrigir erro em foto exibida na tv da recepção
187,impressora não esta imprimindo
188,problemas com a impressora que não está ligando
189,computador não esta ligando
190,impressora não esta imprimindo
191,ao tentar cadastrar informações nos processos numero numero numero numero numero numero numero numero numero numero numero e numero numero mediante uso da mala direta aparece o seguinte erro ao digitar a senha do token microsoft ole db provider for sql server erro numero e numero ins ert error column name or number of supplied values does not match table definition sistemas informacoes movdigitarinformacaopin asp line numero o mesmo erro ocorre quando vou na opção digitar informação assinar
192,usuária alega que o mesmo não esta ligando
193,aplicativos fotos do windows não funciona
194,sem acesso a pasta ddp
195,verificar computador usuária alega que o mesmo esta encerrando de forma súbita
196,verificar impressora usuária alega que esta apresentando problema ao imprimir
197,a impressora está travando a folha ao imprimir
198,pc travando
199,falha em autenticação de usuário no computador
200,computador muito lento
201,ver monitor
202,problema com computador
203,computador não esta ligando
204,problema ao editar documento em pasta de rede
205,mouse com problemas
206,bom dia estou precisando transmitir alguns arquivos do celular para o computador importantes para concluir um trabalho mas o mesmo não o reconhece utilizo sistema ios
207,pc não liga
208,pc com problema
209,problema com a impressora
210,problema com o token
211,informa que o computador não está ligando
212,pc reiniciando
213,detectada pessoa com problema de excedente geral no ponto
214,problema com scanner
215,sem acesso as pastas físicas
216,usuário que o computador não está ligando
217,problema com mala direta
218,problema no scanner
219,ao tentar assinar documentos na área restrita o certificado digital não foi reconhecido
220,problema com assinatura
221,nobreak bipando
222,problema com scanner
223,está sendo verificado em diversos setores pelos usuários que o ponto está negativando as horas dos servidores logo após os mesmos adentrarem no tce o que não deveria estar acontecendo
224,a leitura do diário eletrônico via site não está sendo possivel pelo celular pois o arquivo pdf não carrega venho observando tal situação há uns numero dias acesso por i phone
225,usuário informa que não está conseguindo baixar arquivo
226,recebemos um processo de caráter seletivo no setor ao clicar em na caixa de diálogo sistema apresenta o erro adodb parameters erro numero a numero cc numero o item não pode ser encontrado na coleção correspondente ao nome ou ao ordinal solicitado sistemas processoseletivo conprocessoprioritario asp line numero
227,usuário informa que não está conseguindo inserir informação
